Valence,Arousal,Comentario
6.535401884747564,5.969770296214648,"""Are men always the ones with the higher sex drives? Nope. Sometimes it's SHE who wants sex far more frequently"","" and… https://t.co/DDU86054pD"""
5.894588235294117,6.472808988764045,"""RT @WavyJaydo: I swear this dude funny 🤣 @Cyclo_2k https://t.co/0RHg51oQ9u"""
0.0,0.0,"""Funny Baby Accidents https://t.co/yLWHHK92DP"""
6.25,7.92,"""@TuesdaynoonBand @80sDougFord Now that’s funny for my demographic."""
5.07373578994105,5.549868157560667,"""RT @iamjakyrick: Every time I get close to someone we fall off this shit becoming funny now lol"""
7.54224576903561,7.040404985911458,"""RT @sighbrattt: People love trynna be funny until they find out you a lil funnier than them 😂😭"""
4.1,5.42,"""@TheMartinSystem @ConjureBlk @mchl_42 @PlumberJ1971 @THE_MECHANIC2 @TalibKweli At this point you're just being funn… https://t.co/9xOFtKsjMo"""
6.843863269469021,5.089666129222541,"""RT @WiredSources: President Trump mocks liberal Late Night comedians:  """"I mean honestly are these people funny?"""" Crowd responds: """"No!"""" ht…"""
4.539260097467912,5.725317390671382,"""RT @Cheesytaughtme: When people hate on you and don’t get a reaction it makes em hate you even more and that shit just plain funny to me"""
6.843863269469021,5.089666129222541,"""RT @WiredSources: President Trump mocks liberal Late Night comedians:  """"I mean honestly are these people funny?"""" Crowd responds: """"No!"""" ht…"""
5.8167983104868775,5.675990565021649,"""RT @itsgenebaby: It’s so funny to me how we automatically becomes whores just bc we stop fw a guy 😂"""
5.463714144263453,6.009571505732676,"""BC: My strangest date ever involved _____. WC: All eight Weyoun's in a room performing bukkake on each other. Vote… https://t.co/4NgFIXn7xt"""
0.0,0.0,"""RT @Pouyalilpou: LIL PEEP WAS FUNNY AS FUCK DO NOT SLEEP 😂😂😂 https://t.co/GyB9vjloAU"""
6.717048020941654,6.110698515467219,"""RT @flintbedrock: Isn’t it funny how sometimes in life the people you’re told to stay away from become your closest friends. I respect and…"""
0.0,0.0,"""#nbaawards Great beginning with dissing the Cavs. #sarcasm Not even funny."""
5.818732288513986,6.586571479128912,"""RT @Leo_Tweets: The funny thing about a strong #Leo is that they don't need you... They want you &amp; if you start slacking they'll be content…"""
