Valence,Negativo,Neutro,Positivo,Creado,Comentario
0.7893,0.0,0.741,0.259,2018-09-13 00:25:45,"RT @vmineforever: @MochiManggae Exactly. Let them write negatively, who tf cares. Bighit is more than happy to pull out the sue card."
0.8478,0.0,0.613,0.387,2018-09-13 00:25:45,"RT @iHeartRadio: Happy birthday to the love of my life, RM of @BTS_twt! \xe2\x9d\xa3\xef\xb8\x8f https://t.co/ymPYEs5OcH"
0.3291,0.0,0.81,0.19,2018-09-13 00:25:45,RT @JustGTRs: Happy Birthday King \xf0\x9f\x96\xa4 Gone but never forgotten.. https://t.co/kmy6SnLSBW
-0.4588,0.168,0.781,0.051,2018-09-13 00:25:45,"RT @LoriShemek: If you want to break your sugar addiction, stop FEEDING your sugar addiction. A low sugar, real food diet provides the basi\xe2\x80\xa6"
0.7031,0.087,0.537,0.376,2018-09-13 00:25:45,A crackhead on Jefferson showed me a really cool magic trick today. Happy Wednesday
0.775,0.162,0.367,0.471,2018-09-13 00:25:45,@NiallOfficial OH MY GOD HAPPY EARLY FREAKING BIRTHDAY NIALL\xf0\x9f\x98\xad\xf0\x9f\x98\xad UR GROWING UP!!
0.7901,0.0,0.731,0.269,2018-09-13 00:25:45,"RT @IMDb: Happy Birthday, #BrianDePalma! From #Carrie to #TheUntouchables, here's a look at some of our favorite moments from his films. Wh\xe2\x80\xa6"
-0.1901,0.122,0.786,0.092,2018-09-13 00:25:45,"HT. #MNUFC will be probably happy with that half. Both teams had their moments, but the Loons avoided their usual f\xe2\x80\xa6 https://t.co/rPJWrbD9dN"
0.7096,0.17,0.505,0.325,2018-09-13 00:25:45,RT @justinamash: Many of the same Republicans in government complaining about FBI abuses of power are apparently perfectly happy giving fed\xe2\x80\xa6
0.2851,0.251,0.442,0.307,2018-09-13 00:25:45,RT @tacoboutpics: I\xe2\x80\x99m not crying. Trust me :/ happy birthday Paul \xe2\x9d\xa4\xef\xb8\x8f https://t.co/cJu7rGweH5
0.6115,0.0,0.81,0.19,2018-09-13 00:25:45,RT @KyleErickson25: I have a professor named Mario with a TA named Yoshi and I personally couldn\xe2\x80\x99t be more happy about it
0.3802,0.0,0.88,0.12,2018-09-13 00:25:45,"RT @AGT: For RM\xe2\x80\x99s birthday, we got him a photo with his biggest fan @tyrabanks. \xf0\x9f\x92\x9c \n\nHAPPY BIRTHDAY, ANGEL! #BTSonAGT https://t.co/X16TXhRhbG"
0.9131,0.0,0.527,0.473,2018-09-13 00:25:45,RT @LGMobileGlobal: Happy Birthday to the passionate leader of #BTS #RM!! Let's celebrate at #BTSSTUDIObyLG! https://t.co/RPCwyyFBIq
0.0,0.0,1.0,0.0,2018-09-13 00:25:45,RT @AlDubBigGirlz: One day the constellations of your heart will drift into place and everything will make sense at last.\n\nHappy #ALDUB165t\xe2\x80\xa6
0.7579,0.0,0.694,0.306,2018-09-13 00:25:45,Join Deva and Das to celebrate with Lord Ganesha [Print Media Coverage] \n\nTeam #DevaDas wishes you all a very happy\xe2\x80\xa6 https://t.co/9yqLMj40Rc
0.6633,0.0,0.612,0.388,2018-09-13 00:25:45,RT @doyou_bangtan: HAPPY RM DAY VLIVE \nLIVE THREAD\nhttps://t.co/KY1Pu2Dtih
0.8212,0.0,0.432,0.568,2018-09-13 00:25:45,RT @demaanico: HE\xe2\x80\x99S SO HAPPY https://t.co/m3pGWtAMnB
0.0,0.0,1.0,0.0,2018-09-13 00:25:45,RT @mcpid67: @ManicioR @salvadortrish21 @MarleneSalsona @elainerequina21 @NoraNoraCampos @CarLan33377690 @sherrypie18 @Mye_Pixie @schutty14\xe2\x80\xa6
0.9321,0.0,0.549,0.451,2018-09-13 00:25:45,RT @Rachel199820161: Happy #RMGalaxyDay to my twin Namjoon. We love you so much and hope you're having a good day. #armynatureselca #Happy_\xe2\x80\xa6
0.6249,0.0,0.83,0.17,2018-09-13 00:25:45,I\xe2\x80\x99ve just watched my great aunt and her partner get married over livestream because they decided to get married in\xe2\x80\xa6 https://t.co/rUxAWWpU8s
0.8296,0.087,0.568,0.346,2018-09-13 00:25:44,RT @itsindysev: I just cried editing a video ahhhhh it\xe2\x80\x99s been so long since that\xe2\x80\x99s happened I\xe2\x80\x99m so proud and happy and excited
